Title,Director,Cast,Country,Release_year,Start,End
Lights Out,David F. Sandberg,"Teresa Palmer, Maria Bello, Gabriel Bateman, Alexander DiPersia, Alicia Vela-Bailey",United States of America,2016,2016-07-21,
Miss Italia Mustn't Die,"David Gallerano, Pietro Daviddi",Patrizia Mirigliani,Italy,2025,2025-02-26,
Locked,David Yarovesky,"Bill Skarsgård, Anthony Hopkins, Ashley Cartwright, Michael Eklund, Navid Charkhi","United States of America, Canada, Czech Republic",2025,2025-03-20,
Nightbooks,David Yarovesky,"Winslow Fegley, Lidya Jewett, Krysten Ritter, Jill Frappier, Neil Emmanuel Lu","Canada, United States of America",2021,2021-09-15,
Brightburn,David Yarovesky,"Jackson A. Dunn, Elizabeth Banks, David Denman, Matt Jones, Meredith Hagner",United States of America,2019,2019-05-09,
The Hive,David Yarovesky,"Kathryn Prescott, Gabriel Basso, Sean Gunn, Jacob Zachar, Aurelia Scheppers",United States of America,2015,2015-09-14,
How to Train Your Dragon,Dean DeBlois,"Mason Thames, Nico Parker, Gerard Butler, Nick Frost, Julian Dennison",United States of America,2025,2025-06-11,
How to Train Your Dragon: The Hidden World,Dean DeBlois,"Jay Baruchel, America Ferrera, F. Murray Abraham, Cate Blanchett, Gerard Butler",United States of America,2019,2019-01-03,
How to Train Your Dragon 2,Dean DeBlois,"Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson, America Ferrera",United States of America,2014,2014-06-05,
Lilo & Stitch,Dean Fleischer Camp,"Maia Kealoha, Chris Sanders, Sydney Agudong, Billy Magnussen, Tia Carrere",United States of America,2025,2025-05-21,
Marcel the Shell with Shoes On,Dean Fleischer Camp,"Jenny Slate, Dean Fleischer Camp, Isabella Rossellini, Joe Gabler, Shari Finkelstein",United States of America,2022,2022-06-24,
Riff Raff,Dito Montiel,"Jennifer Coolidge, Ed Harris, Gabrielle Union, Bill Murray, Lewis Pullman","United States of America, China",2025,2025-02-27,
The Clapper,Dito Montiel,"Ed Helms, Amanda Seyfried, Tracy Morgan, Adam Levine, Russell Peters",United States of America,2018,2018-01-26,
Man Down,Dito Montiel,"Shia LaBeouf, Jai Courtney, Gary Oldman, Kate Mara, Tory Kittles",United States of America,2015,2015-09-12,
Boulevard,Dito Montiel,"Robin Williams, Roberto Aguire, Bob Odenkirk, Kathy Baker, Eléonore Hendricks",United States of America,2014,2014-04-20,
Empire State,Dito Montiel,"Liam Hemsworth, Dwayne Johnson, Emma Roberts, Nikki Reed, Michael Angarano","United Kingdom, United States of America",2013,2013-09-03,
The Son of No One,Dito Montiel,"Channing Tatum, Al Pacino, Juliette Binoche, Katie Holmes, James Ransone",United States of America,2011,2011-11-04,
A Copenhagen Love Story,"Ditte Hansen, Louise Mieritz","Rosalinde Mynster, Joachim Fjelstrup, Sara Fanta Traore, Mille Lehfeldt, Magnus Haugaard",Denmark,2025,2025-02-25,
Elio,"Domee Shi, Madeline Sharafian, Adrian Molina","Yonas Kibreab, Zoe Saldaña, Jameela Jamil, Brad Garrett, Remy Edgerly",United States of America,2025,2025-06-18,
Companion,Drew Hancock,"Sophie Thatcher, Jack Quaid, Lukas Gage, Megan Suri, Harvey Guillén",United States of America,2025,2025-01-22,
The Running Man,Edgar Wright,"Glen Powell, Josh Brolin, Jayme Lawson, Lee Pace, Michael Cera","United Kingdom, United States of America",2025,2025-11-05,
Last Night in Soho,Edgar Wright,"Thomasin McKenzie, Anya Taylor-Joy, Matt Smith, Rita Tushingham, Michael Ajao",United Kingdom,2021,2021-10-21,
The Sparks Brothers,Edgar Wright,"Ron Mael, Russell Mael, Beck, Gary Stewart, Mike Berns","United Kingdom, United States of America",2021,2021-06-18,
Baby Driver,Edgar Wright,"Ansel Elgort, Kevin Spacey, Lily James, Jon Hamm, Jamie Foxx","United Kingdom, United States of America",2017,2017-06-28,
The World's End,Edgar Wright,"Simon Pegg, Nick Frost, Paddy Considine, Eddie Marsan, Martin Freeman","United Kingdom, United States of America",2013,2013-07-18,
Scott Pilgrim vs. the World,Edgar Wright,"Michael Cera, Mary Elizabeth Winstead, Ellen Wong, Kieran Culkin, Alison Pill","Japan, United Kingdom, United States of America",2010,2010-08-12,
Millers in Marriage,Edward Burns,"Gretchen Mol, Julianna Margulies, Minnie Driver, Edward Burns, Morena Baccarin",United States of America,2025,2025-02-21,
Clown in a Cornfield,Eli Craig,"Aaron Abrams, Katie Douglas, Carson MacCormac, Cassandra Potenza, Verity Marks",United States of America,2025,2025-05-08,
Little Evil,Eli Craig,"Adam Scott, Evangeline Lilly, Owen Atlas, Bridget Everett, Donald Faison",United States of America,2017,2017-08-08,
Tucker and Dale vs. Evil,Eli Craig,"Tyler Labine, Alan Tudyk, Katrina Bowden, Jesse Moss, Philip Granger","Canada, United States of America",2010,2010-01-22,
Five Nights at Freddy's 2,Emma Tammi,"Josh Hutcherson, Matthew Lillard, Piper Rubio, Elizabeth Lail",United States of America,2025,2025-12-03,
Five Nights at Freddy's,Emma Tammi,"Josh Hutcherson, Piper Rubio, Elizabeth Lail, Matthew Lillard, Mary Stuart Masterson",United States of America,2023,2023-10-25,
Delivered,Emma Tammi,"Natalie Paul, Tina Majorino, Micah Joe Parker, Michael Cassidy, Rosslyn Luke",United States of America,2020,2020-05-08,
The Wind,Emma Tammi,"Caitlin Gerard, Ashley Zukerman, Julia Goldani Telles, Miles Anderson, Dylan McTee",United States of America,2018,2018-05-05,
Cooked,Emre Şahin,"Burak Deniz, Öykü Karayel, Osman Sonant, Onur Ünsal, Ulvi Kahyaoğlu",Turkey,2025,2025-02-11,
Chasing the Wind,Engin Erden,"Hande Erçel, Barış Arduç, Gözde Mutluer, Tuğrul Tülek, Şebnem Sönmez",Turkey,2025,2025-01-09,
Dead Bride,Francesco Picone,"Jennifer Mischiati, Christoph Hülsen, Douglas Dean, Seán James Sutton, Michael Segal",Italy,2025,2025-01-09,
Les Bodin’s partent en vrille,Frédéric Forestier,"Vincent Dubois, Jean-Christian Fraiscinet, Léo Marty",France,2025,2025-03-19,
The Infallibles,Frédéric Forestier,"Inès Reg, Kévin Debonne, Vincent Rottiers, Moussa Maaskri, François Neycken",France,2024,2024-06-20,
La città proibita,Gabriele Mainetti,"Yaxi Liu, Enrico Borello, Marco Giallini, Sabrina Ferilli, Chunyu Shanshan",Italy,2025,2025-03-08,
Freaks Out,Gabriele Mainetti,"Claudio Santamaria, Aurora Giovinazzo, Pietro Castellitto, Giancarlo Martini, Giorgio Tirabassi","Belgium, Italy",2021,2021-10-28,
They Call Me Jeeg,Gabriele Mainetti,"Claudio Santamaria, Luca Marinelli, Ilenia Pastorelli, Stefano Ambrogi, Maurizio Tesei",Italy,2016,2016-02-25,
Jurassic World Rebirth,Gareth Edwards,"Scarlett Johansson, Jonathan Bailey, Mahershala Ali, Rupert Friend, Manuel Garcia-Rulfo",United States of America,2025,2025-07-02,
The Creator,Gareth Edwards,"John David Washington, Madeleine Yuna Voyles, Gemma Chan, Allison Janney, Ken Watanabe","Canada, United States of America",2023,2023-09-27,
Rogue One: A Star Wars Story,Gareth Edwards,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen Chi-Tan, Jiang Wen",United States of America,2016,2016-12-14,
Godzilla,Gareth Edwards,"Aaron Taylor-Johnson, Elizabeth Olsen, Juliette Binoche, Bryan Cranston, Ken Watanabe",United States of America,2014,2014-05-14,
Monsters,Gareth Edwards,"Scoot McNairy, Whitney Able, Mario Zuniga Benavides, Annalee Jefferies, Justin Hall",United Kingdom,2010,2010-06-18,
Havoc,Gareth Evans,"Tom Hardy, Forest Whitaker, Timothy Olyphant, Justin Cornwell, Jessie Mei Li","United Kingdom, United States of America",2025,2025-04-25,
Apostle,Gareth Evans,"Dan Stevens, Michael Sheen, Lucy Boynton, Mark Lewis Jones, Bill Milner","United States of America, United Kingdom",2018,2018-09-21,
The Raid 2,Gareth Evans,"Iko Uwais, Arifin Putra, Tio Pakusadewo, Oka Antara, Alex Abbad","Indonesia, United States of America",2014,2014-03-27,
The Raid,Gareth Evans,"Iko Uwais, Joe Taslim, Donny Alamsyah, Yayan Ruhian, Pierre Gruno","France, Indonesia, United States of America",2012,2012-03-22,
The Accountant 2,Gavin O'Connor,"Ben Affleck, Jon Bernthal, Cynthia Addai-Robinson, J.K. Simmons, Daniella Pineda",United States of America,2025,2025-04-23,
The Way Back,Gavin O'Connor,"Ben Affleck, Al Madrigal, Michaela Watkins, Janina Gavankar, Glynn Turman","United States of America, Canada",2020,2020-03-05,
The Accountant,Gavin O'Connor,"Ben Affleck, Cynthia Addai-Robinson, Anna Kendrick, J.K. Simmons, Jon Bernthal",United States of America,2016,2016-10-13,
Jane Got a Gun,Gavin O'Connor,"Natalie Portman, Joel Edgerton, Ewan McGregor, Noah Emmerich, Boyd Holbrook","United Kingdom, United States of America",2015,2015-12-31,
Warrior,Gavin O'Connor,"Joel Edgerton, Tom Hardy, Nick Nolte, Jennifer Morrison, Frank Grillo",United States of America,2011,2011-09-09,
M3GAN 2.0,Gerard Johnstone,"Allison Williams, Violet McGraw, Jenna Davis, Amie Donald, Ivanna Sakhno",United States of America,2025,2025-06-25,
M3GAN,Gerard Johnstone,"Allison Williams, Violet McGraw, Ronny Chieng, Amie Donald, Jenna Davis",United States of America,2022,2022-12-28,
Housebound,Gerard Johnstone,"Morgana O'Reilly, Rima Te Wiata, Glen-Paul Waru, Ross Harper, Cameron Rhodes",New Zealand,2014,2014-09-04,
Jellyfish,Giles Chan,"Aidan Rynne, Brendan Schneider, Orly Beringer, Fred Hawkins, Caitlin Cheah",Australia,2025,2025-03-02,
Crazxy,Girish Kohli,Sohum Shah,India,2025,2025-02-28,
The Wrong Track,Hallvar Witzø,"Ada Eide, Trond Fausa Aurvåg, Marie Blokhus, Christian Rubeck, Saga Tuset Meisfjordskar",Norway,2025,2025-02-27,
Cinta Tak Pernah Tepat Waktu,Hanung Bramantyo,"Refal Hady, Nadya Arina, Mira Filzah, Carissa Perusset, Rangga Nattra",Indonesia,2025,2025-02-13,
Laura,Hanung Bramantyo,"Amanda Rawles, Kevin Ardilova, Carissa Perusset, Fadi Alaydrus, Jinan Safa",Indonesia,2024,2024-09-12,
Ipar Adalah Maut,Hanung Bramantyo,"Michelle Ziudith, Deva Mahenra, Davina Karamoy, Alesha Fadillah, Dewi Irawan",Indonesia,2024,2024-06-13,
Trinil,Hanung Bramantyo,"Carmela van der Kruk, Rangga Nattra, Fattah Amin, Wulan Guritno, Shalom Razade",Indonesia,2024,2024-01-04,
Demon Slayer: Kimetsu no Yaiba - Infinity Castle,Haruo Sotozaki,"Natsuki Hanae, Yoshitsugu Matsuoka, Hiro Shimono, Akari Kito",Japan,2025,2025-07-18,
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,Haruo Sotozaki,"Natsuki Hanae, Akari Kito, Hiro Shimono, Yoshitsugu Matsuoka, Satoshi Hino",Japan,2020,2020-10-16,
Demon Slayer: Kimetsu no Yaiba – Sibling's Bond,Haruo Sotozaki,"Natsuki Hanae, Akari Kito, Takahiro Sakurai, Hochu Otsuka, Yuki Kaji",Japan,2019,2019-03-29,
"Remember ""Thesis Film""",Henry Segura,"Tomas Gordillo, Kamar Olawale, Victor Garcia, Sofia Miranda, Corey Zielinski",United States of America,2025,2025-03-03,
Highest Treason,Hugh McGuire,"Hugh McGuire, James Gant, Leon Niesten, Andre Rodriguez, Kye Cassam",Australia,2025,2025-03-02,
"The Wizard of the Emerald City, Part 1",Igor Voloshin,"Ekaterina Chervova, Yuri Kolokolnikov, Artur Vakha, Svetlana Khodchenkova, Vasilina Makovtseva",Russia,2025,2025-01-01,
Obsessed,Igor Voloshin,"Lukerya Ilyashenko, Oleg Vasilkov, Evgeny Kharitonov, Georgiy Kudrenko, Anastasiya Kuvshinova",Russia,2022,2022-07-14,
Let Me Be With You,Isaac Cherem,"Andrea Sutton Chávez, Aksel Gomez, Silvia Navarro, Johanna Murillo, Anna Díaz",Mexico,2025,2025-01-12,
Death Before the Wedding,"Iwona Ogonowska-Konecka, Tomasz Konecki","Agnieszka Suchora, Tomasz Karolak, Natalia Sitarska, Gamou Fall, Paulina Gałązka",Poland,2025,2025-02-11,
Online Selling,Jacqueline R. Carlos,"Arah Alonzo, Aria Bench, Andrew Gan, Marc Capilador, Tommy Samonte",Philippines,2025,2025-02-13,
Thunderbolts*,Jake Schreier,"Florence Pugh, Sebastian Stan, David Harbour, Wyatt Russell, Hannah John-Kamen",United States of America,2025,2025-04-30,
Paper Towns,Jake Schreier,"Nat Wolff, Cara Delevingne, Austin Abrams, Justice Smith, Halston Sage",United States of America,2015,2015-06-18,
Robot & Frank,Jake Schreier,"Frank Langella, Liv Tyler, James Marsden, Susan Sarandon, Peter Sarsgaard",United States of America,2012,2012-08-16,
Man with No Past,James Bamford,"Jon Voight, Adam Woodward, Marton Csokas, Charlotte Vega, Philip Winchester",United States of America,2025,2025-01-13,
Air Force One Down,James Bamford,"Katherine McNamara, Ian Bohen, Dascha Polanco, Rade Šerbedžija, Paul S. Tracey",United States of America,2024,2024-02-09,
Jade,James Bamford,"Shaina West, Mickey Rourke, Katherine McNamara, Mark Dacascos, Marcus Aurelio",United States of America,2024,2024-05-05,
Utopia,James Bamford,"Moe Dunford, Charlotte Vega, Michael D. Xavier, Daniel Bernhardt, Jason Flemyng",United States of America,2024,2024-12-09,
Avatar: Fire and Ash,James Cameron,"Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Kate Winslet",United States of America,2025,2025-12-17,
Avatar: The Way of Water,James Cameron,"Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Kate Winslet",United States of America,2022,2022-12-14,
Superman,James Gunn,"David Corenswet, Rachel Brosnahan, Nicholas Hoult, Edi Gathegi, Anthony Carrigan",United States of America,2025,2025-07-09,
Guardians of the Galaxy Vol. 3,James Gunn,"Chris Pratt, Zoe Saldaña, Dave Bautista, Karen Gillan, Pom Klementieff",United States of America,2023,2023-05-03,
The Guardians of the Galaxy Holiday Special,James Gunn,"Chris Pratt, Dave Bautista, Karen Gillan, Pom Klementieff, Vin Diesel",United States of America,2022,2022-11-24,
The Suicide Squad,James Gunn,"Margot Robbie, Idris Elba, John Cena, Joel Kinnaman, Sylvester Stallone",United States of America,2021,2021-07-28,
Guardians of the Galaxy Vol. 2,James Gunn,"Chris Pratt, Zoe Saldaña, Dave Bautista, Vin Diesel, Bradley Cooper",United States of America,2017,2017-04-19,
Guardians of the Galaxy,James Gunn,"Chris Pratt, Zoe Saldaña, Dave Bautista, Vin Diesel, Bradley Cooper",United States of America,2014,2014-07-30,
Super,James Gunn,"Rainn Wilson, Elliot Page, Liv Tyler, Kevin Bacon, Gregg Henry",United States of America,2010,2010-11-26,
The Amateur,James Hawes,"Rami Malek, Laurence Fishburne, Rachel Brosnahan, Jon Bernthal, Caitríona Balfe",United States of America,2025,2025-04-09,
One Life,James Hawes,"Anthony Hopkins, Johnny Flynn, Lena Olin, Romola Garai, Alex Sharp","Australia, United Kingdom",2023,2023-12-21,
The Challenger Disaster,James Hawes,"William Hurt, Bruce Greenwood, Joanne Whalley, Brian Dennehy, Eve Best","United Kingdom, United States of America",2013,2013-03-18,
The Murder at Road Hill House,James Hawes,"Paddy Considine, Peter Capaldi, Tom Georgeson, William Beck, Emma Fielding",United Kingdom,2011,2011-04-25,
Zootopia 2,"Jared Bush, Byron Howard","Ginnifer Goodwin, Jason Bateman, Ke Huy Quan, Fortune Feimster, Idris Elba",United States of America,2025,2025-11-26,
A Minecraft Movie,Jared Hess,"Jason Momoa, Jack Black, Danielle Brooks, Emma Myers, Sebastian Eugene Hansen","Sweden, United States of America, New Zealand",2025,2025-04-02,
Masterminds,Jared Hess,"Zach Galifianakis, Owen Wilson, Kristen Wiig, Kate McKinnon, Leslie Jones",United States of America,2016,2016-09-29,
Sosyal Climbers,Jason Paul Laxamana,"Maris Racal, Anthony Jennings, Ricky Davao, Carmi Martin, Bart Guingona",Philippines,2025,2025-02-26,
The Woman in the Yard,Jaume Collet-Serra,"Danielle Deadwyler, Okwui Okpokwasili, Russell Hornsby, Peyton Jackson, Estella Kahiha",United States of America,2025,2025-03-27,
Carry-On,Jaume Collet-Serra,"Taron Egerton, Jason Bateman, Sofia Carson, Danielle Deadwyler, Theo Rossi",United States of America,2024,2024-12-05,
Black Adam,Jaume Collet-Serra,"Dwayne Johnson, Aldis Hodge, Noah Centineo, Sarah Shahi, Quintessa Swindell",United States of America,2022,2022-10-19,
Jungle Cruise,Jaume Collet-Serra,"Dwayne Johnson, Emily Blunt, Edgar Ramírez, Jack Whitehall, Jesse Plemons",United States of America,2021,2021-07-28,
The Commuter,Jaume Collet-Serra,"Liam Neeson, Patrick Wilson, Sam Neill, Jonathan Banks, Vera Farmiga","United States of America, France",2018,2018-01-11,
The Shallows,Jaume Collet-Serra,"Blake Lively, Óscar Jaenada, Brett Cullen, Janelle Bailey, Sedona Legge","Australia, Spain, United States of America",2016,2016-06-24,
Run All Night,Jaume Collet-Serra,"Liam Neeson, Joel Kinnaman, Ed Harris, Vincent D'Onofrio, Bruce McGill",United States of America,2015,2015-03-11,
Non-Stop,Jaume Collet-Serra,"Liam Neeson, Julianne Moore, Scoot McNairy, Michelle Dockery, Nate Parker","France, United Kingdom, United States of America",2014,2014-02-26,
Unknown,Jaume Collet-Serra,"Liam Neeson, Diane Kruger, January Jones, Aidan Quinn, Bruno Ganz",United States of America,2011,2011-02-16,
Still Alive In Kingston,Jay Middaugh,,,2025,2025-03-02,
TRON: Ares,Joachim Rønning,"Jared Leto, Greta Lee, Evan Peters, Hasan Minhaj, Jodie Turner-Smith",United States of America,2025,2025-10-08,
Young Woman and the Sea,Joachim Rønning,"Daisy Ridley, Tilda Cobham-Hervey, Stephen Graham, Kim Bodnia, Jeanette Hain",United States of America,2024,2024-05-31,
Maleficent: Mistress of Evil,Joachim Rønning,"Angelina Jolie, Elle Fanning, Harris Dickinson, Michelle Pfeiffer, Sam Riley",United States of America,2019,2019-10-16,
Shadow Force,Joe Carnahan,"Mark Strong, Kerry Washington, Omar Sy, Da'Vine Joy Randolph, Method Man",United States of America,2025,2025-05-02,
Boss Level,Joe Carnahan,"Frank Grillo, Mel Gibson, Naomi Watts, Will Sasso, Annabelle Wallis","United Kingdom, United States of America",2021,2021-02-19,
Copshop,Joe Carnahan,"Gerard Butler, Frank Grillo, Alexis Louder, Toby Huss, Chad L. Coleman",United States of America,2021,2021-09-09,
Stretch,Joe Carnahan,"Patrick Wilson, Kevin Bigley, Chris Pine, Jessica Alba, Ray Liotta",United States of America,2014,2014-10-14,
The Grey,Joe Carnahan,"Liam Neeson, Dermot Mulroney, Frank Grillo, Dallas Roberts, Nonso Anozie","United Kingdom, United States of America",2012,2012-01-26,
The A-Team,Joe Carnahan,"Liam Neeson, Bradley Cooper, Jessica Biel, Quinton 'Rampage' Jackson, Sharlto Copley","United Kingdom, United States of America",2010,2010-06-09,
Henry Danger: The Movie,Joe Menendez,"Jace Norman, Sean Ryan Fox, Ella Anderson, Michael D. Cohen, Frankie Grande",United States of America,2025,2025-01-17,
The Electric State,"Joe Russo, Anthony Russo","Millie Bobby Brown, Chris Pratt, Woody Harrelson, Ke Huy Quan, Giancarlo Esposito",United States of America,2025,2025-03-07,
The Gray Man,"Joe Russo, Anthony Russo","Ryan Gosling, Chris Evans, Ana de Armas, Billy Bob Thornton, Jessica Henwick",United States of America,2022,2022-07-13,
Cherry,"Joe Russo, Anthony Russo","Tom Holland, Ciara Bravo, Jack Reynor, Michael Rispoli, Jeffrey Wahlberg",United States of America,2021,2021-02-26,
Avengers: Infinity War,"Joe Russo, Anthony Russo","Robert Downey Jr., Chris Evans, Chris Hemsworth, Josh Brolin, Mark Ruffalo",United States of America,2018,2018-04-25,
Captain America: Civil War,"Joe Russo, Anthony Russo","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan, Anthony Mackie",United States of America,2016,2016-04-27,
Captain America: The Winter Soldier,"Joe Russo, Anthony Russo","Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford, Sebastian Stan",United States of America,2014,2014-03-20,
The Unbreakable Boy,Jon Gunn,"Zachary Levi, Gavin Warren, Jacob Laval, Amy Acker, Meghann Fahy",United States of America,2025,2025-02-20,
Ordinary Angels,Jon Gunn,"Hilary Swank, Alan Ritchson, Emily Mitchell, Skywalker Hughes, Nancy Travis",United States of America,2024,2024-02-22,
The Case for Christ,Jon Gunn,"Mike Vogel, Erika Christensen, Faye Dunaway, Robert Forster, Frankie Faison",United States of America,2017,2017-04-07,
Do You Believe?,Jon Gunn,"Tracy Melchior, Mira Sorvino, Sean Astin, Alexa PenaVega, Cybill Shepherd",United States of America,2015,2015-03-20,
Wicked: For Good,Jon M. Chu,"Cynthia Erivo, Ariana Grande, Jonathan Bailey, Michelle Yeoh, Jeff Goldblum",United States of America,2025,2025-11-19,
Wicked,Jon M. Chu,"Cynthia Erivo, Ariana Grande, Jeff Goldblum, Michelle Yeoh, Jonathan Bailey",United States of America,2024,2024-11-20,
In the Heights,Jon M. Chu,"Anthony Ramos, Corey Hawkins, Leslie Grace, Melissa Barrera, Olga Merediz",United States of America,2021,2021-06-10,
Crazy Rich Asians,Jon M. Chu,"Constance Wu, Henry Golding, Michelle Yeoh, Gemma Chan, Lisa Lu",United States of America,2018,2018-08-15,
Now You See Me 2,Jon M. Chu,"Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Morgan Freeman, Dave Franco","Hong Kong, United States of America",2016,2016-06-02,
Jem and the Holograms,Jon M. Chu,"Aubrey Shea, Stefanie Scott, Hayley Kiyoko, Aurora Perrineau, Ryan Guzman",United States of America,2015,2015-10-22,
G.I. Joe: Retaliation,Jon M. Chu,"Dwayne Johnson, Bruce Willis, Jonathan Pryce, Adrianne Palicki, Ray Park","Canada, United States of America",2013,2013-03-27,
Justin Bieber's Believe,Jon M. Chu,"Justin Bieber, Ryan Good, Usher, Pattie Mallette, Jeremy Bieber",United States of America,2013,2013-12-19,
Justin Bieber: Never Say Never,Jon M. Chu,"Justin Bieber, Nathan Morris, Wanya Morris, Shawn Stockman, Miley Cyrus",United States of America,2011,2011-02-11,
Step Up 3D,Jon M. Chu,"Rick Malambri, Adam Sevani, Joe Slaughter, Sharni Vinson, Alyson Stoner",United States of America,2010,2010-08-04,
Karate Kid: Legends,Jonathan Entwistle,"Ben Wang, Jackie Chan, Ralph Macchio, Joshua Jackson, Sadie Stanley",United States of America,2025,2025-05-28,
Love Hurts,Jonathan Eusebio,"Ke Huy Quan, Ariana DeBose, Mustafa Shakir, Lio Tipton, Daniel Wu",United States of America,2025,2025-02-06,
Justicia para Diego,"Jorge Valcarcel, Eduardo Mendoza",,Spain,2025,2025-01-07,
F1,Joseph Kosinski,"Brad Pitt, Damson Idris, Kerry Condon, Javier Bardem, Tobias Menzies",United States of America,2025,2025-06-25,
Top Gun: Maverick,Joseph Kosinski,"Tom Cruise, Miles Teller, Monica Barbaro, Lewis Pullman, Jay Ellis",United States of America,2022,2022-05-21,
Spiderhead,Joseph Kosinski,"Chris Hemsworth, Miles Teller, Jurnee Smollett, Mark Paguio, Tess Haubrich",United States of America,2022,2022-06-17,
Only the Brave,Joseph Kosinski,"Josh Brolin, Miles Teller, Jeff Bridges, Jennifer Connelly, James Badge Dale",United States of America,2017,2017-09-22,
Oblivion,Joseph Kosinski,"Tom Cruise, Morgan Freeman, Olga Kurylenko, Andrea Riseborough, Nikolaj Coster-Waldau",United States of America,2013,2013-04-10,
TRON: Legacy,Joseph Kosinski,"Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner, James Frain",United States of America,2010,2010-12-14,
Heart Eyes,Josh Ruben,"Olivia Holt, Mason Gooding, Jordana Brewster, Devon Sawa, Gigi Zumbado",United States of America,2025,2025-02-06,
Werewolves Within,Josh Ruben,"Sam Richardson, Milana Vayntrub, George Basil, Sarah Burns, Michael Chernus",United States of America,2021,2021-06-25,
Scare Me,Josh Ruben,"Aya Cash, Josh Ruben, Chris Redd, Rebecca Drysdale, Lauren Sick",United States of America,2020,2020-01-24,
Sons of Ecstasy,"Julian P. Hobbs, Elli Hakami","Shaun Attwood, Sammy ""The Bull"" Gravano, Karen Gravano, Gerard Gravano",United States of America,2025,2025-01-08,
Captain America: Brave New World,Julius Onah,"Anthony Mackie, Harrison Ford, Danny Ramirez, Shira Haas, Tim Blake Nelson",United States of America,2025,2025-02-12,
Luce,Julius Onah,"Kelvin Harrison, Jr., Naomi Watts, Octavia Spencer, Tim Roth, Norbert Leo Butz","United States of America, China",2019,2019-08-02,
The Cloverfield Paradox,Julius Onah,"Gugu Mbatha-Raw, Daniel Brühl, Chris O'Dowd, David Oyelowo, John Ortiz",United States of America,2018,2018-02-04,
Sidelined: The QB and Me,Justin Wu,"Siena Agudong, Noah Beck, Drew Ray Tanner, James Van Der Beek, Deborah Cox",Canada,2025,2025-02-06,
The Witcher: Sirens of the Deep,Kang Hei Chul,"Doug Cockle, Joey Batey, Christina Wren, Emily Carey, Camrus Johnson","Poland, South Korea, United States of America",2025,2025-02-10,
Mononoke the Movie: The Ashes of Rage,Kenji Nakamura,"Hiroshi Kamiya, Cho, Daisuke Hosomi, Haruka Tomatsu, Kenyu Horiuchi",Japan,2025,2025-03-14,
Mononoke the Movie: The Phantom in the Rain,Kenji Nakamura,"Hiroshi Kamiya, Tomoyo Kurosawa, Aoi Yuki, Mami Koyama, Kana Hanazawa",Japan,2024,2024-07-26,
Saw XI,Kevin Greutert,"Tobin Bell, Costas Mandylor",United States of America,2025,2025-09-25,
Saw X,Kevin Greutert,"Tobin Bell, Shawnee Smith, Synnøve Macody Lund, Steven Brand, Renata Vaca",United States of America,2023,2023-09-27,
Jackals,Kevin Greutert,"Stephen Dorff, Johnathon Schaech, Deborah Kara Unger, Nick Roux, Alyssa Julia Smith",United States of America,2017,2017-09-01,
Visions,Kevin Greutert,"Anson Mount, Isla Fisher, Jeff Branson, Gillian Jacobs, Jim Parsons",United States of America,2015,2015-08-28,
Jessabelle,Kevin Greutert,"Sarah Snook, Mark Webber, Joelle Carter, David Andrews, Chris Ellis",United States of America,2014,2014-11-07,
Saw 3D,Kevin Greutert,"Tobin Bell, Costas Mandylor, Betsy Russell, Cary Elwes, Sean Patrick Flanery",United States of America,2010,2010-10-22,
Dark Nuns,Kwon Hyeok-jae,"Song Hye-kyo, Jeon Yeo-been, Lee Jin-uk, Moon Woo-jin, Huh Joon-ho",South Korea,2025,2025-01-24,
My Dead Friend Zoe,Kyle Hausmann-Stokes,"Sonequa Martin-Green, Natalie Morales, Ed Harris, Morgan Freeman, Utkarsh Ambudkar",United States of America,2025,2025-02-28,
Walker,Lawrence Fajardo,"Robb Guinto, Stephanie Raz, Mark Dionisio, Vince Rillon, Natts Everett",Philippines,2025,2025-02-28,
Sugapa,Lawrence Fajardo,"AJ Raval, Aljur Abrenica, Jairus Aquino, Dyessa Garcia, Arthur Acuña",Philippines,2023,2023-08-25,
Scorpio Nights 3,Lawrence Fajardo,"Christine Bermas, Mark Anthony Fernandez, Gold Aceron, Sheree, Allison Smith",Philippines,2022,2022-07-28,
X-Deal 2,Lawrence Fajardo,"Angela Morena, Robb Guinto, Josef Elizalde, Kedebon Colim, Lowell Conales",Philippines,2022,2022-03-25,
Mahjong Nights,Lawrence Fajardo,"Angeli Khang, Sean de Guzman, Mickey Ferriols, Jay Manalo, Arnell Ignacio",Philippines,2021,2021-11-12,
One of Them Days,Lawrence Lamont,"Keke Palmer, SZA, Joshua David Neal, Aziza Scott, Patrick Cage",United States of America,2025,2025-01-16,
Chhaava,Laxman Utekar,"Vicky Kaushal, Rashmika Mandanna, Akshaye Khanna, Ashutosh Rana, Divya Dutta",India,2025,2025-02-14,
