Title,Director,cast,Start,Release_year,popularity,End
Non-Stop,Richard Gabai,"Lacey Chabert, Amy Davidson, Will Kemp, Betsy Russell, David Lipper",2013-11-29,2013,5.854,
Nude,Tony Sacco,"David Bellemere, Steve Shaw, Rachel Cook, Jessica Clements, Jeannie Park",2017-10-29,2017,27.026,
Nude,Yûichi Onuma,"Naoko Watanabe, Ken Mitsuishi, Aimi Satsukawa, Mihiro, Tsuyoshi Gotô",2010-09-18,2010,15.317,
Obsessed,Igor Voloshin,"Lukerya Ilyashenko, Oleg Vasilkov, Evgeny Kharitonov, Georgiy Kudrenko, Anastasiya Kuvshinova",2022-07-14,2022,11.432,
Obsessed,Kim Dae-woo,"Song Seung-heon, Lim Ji-yeon, Cho Yeo-jeong, On Ju-wan, Yoo Hai-jin",2014-05-14,2014,31.138,
One Life,James Hawes,"Anthony Hopkins, Johnny Flynn, Lena Olin, Romola Garai, Alex Sharp",2023-12-21,2023,26.613,
One Life,"Martha Holmes, Michael Gunton",Daniel Craig,2011-07-19,2011,6.183,
One More Shot,Nicholas Clifford,"Emily Browning, Sean Keenan, Ashley Zukerman, Aisha Dee, Pallavi Sharda",2025-03-07,2025,7.551,
One More Shot,James Nunn,"Scott Adkins, Michael Jai White, Alexis Knapp, Meena Rayann, Waleed Elgadi",2024-01-09,2024,25.895,
One More Shot,Tang Qiaojia,"Louis Fan Siu-Wong, Jiang Yiyi, Wang Zhipeng, Song Ziqiao, Liu Weizhou",2022-10-13,2022,11.082,
Outcast,Nick Powell,"Nicolas Cage, Hayden Christensen, Liu Yifei, Andy On Chi-Kit, Anoja Dias Bolt",2014-09-26,2014,28.584,
Outcast,Colm McCarthy,"James Nesbitt, Kate Dickie, Therese Bradley, Karen Gillan, Ciarán McMenamin",2010-12-10,2010,4.116,
Paradise,Boris Kunz,"Kostja Ullmann, Corinna Kirchhoff, Marlene Tanczik, Iris Berben, Lisa-Marie Koroll",2023-06-24,2023,27.221,
Paradise,Diablo Cody,"Julianne Hough, Russell Brand, Octavia Spencer, Holly Hunter, Nick Offerman",2013-10-18,2013,8.039,
Pinocchio,Robert Zemeckis,"Joseph Gordon-Levitt, Tom Hanks, Benjamin Evan Ainsworth, Angus Wright, Cynthia Erivo",2022-09-07,2022,29.565,
Pinocchio,Matteo Garrone,"Federico Ielapi, Roberto Benigni, Marine Vacth, Gigi Proietti, Massimo Ceccherini",2019-12-19,2019,18.611,
Pinocchio,Anna Justice,"Mario Adorf, Ulrich Tukur, Inka Friedrich, Benjamin Sadler, Sandra Hüller",2013-12-24,2013,7.192,
Prey,Mukunda Michael Dewil,"Ryan Phillippe, Emile Hirsch, Mena Suvari, Dylan Flashner, Tristan Thompson",2024-03-15,2024,153.682,
Prey,Dan Trachtenberg,"Amber Midthunder, Dakota Beavers, Michelle Thrush, Stormee Kipp, Julian Black Antelope",2022-08-02,2022,76.409,
Prey,Thomas Sieben,"David Kross, Hanno Koffler, Maria Ehrich, Robert Finster, Yung Ngo",2021-09-10,2021,14.419,
Prey,Franck Khalfoun,"Logan Miller, Kristine Froseth, Jolene Anderson, Phodiso Dintwe, Jerrica Xufei Lai",2019-07-18,2019,14.452,
Prey,Dick Maas,"Sophie van Winden, Julian Looman, Mark Frost, Rienus Krul, Victor Löw",2016-10-13,2016,7.926,
RED,FreddyLee Bourne,"Kai Zhao, Elsie Cairns, FreddyLee Bourne",2025-03-07,2025,8.551,
RED,Robert Schwentke,"Bruce Willis, John Malkovich, Morgan Freeman, Helen Mirren, Mary-Louise Parker",2010-10-13,2010,36.185,
Retribution,Nimród Antal,"Liam Neeson, Lilly Aspell, Jack Champion, Matthew Modine, Noma Dumezweni",2023-08-23,2023,46.03,
Retribution,Dani de la Torre,"Luis Tosar, Paula del Río, Marco Sanz, Javier Gutiérrez, Elvira Mínguez",2015-09-21,2015,11.857,
Revenge,Lee Beom,"Seo Dong-kyu, Hong Kyung-in, Han Ah-yoon, Kim Min-dong",2024-09-10,2024,47.34,
Revenge,Coralie Fargeat,"Matilda Lutz, Kevin Janssens, Vincent Colombe, Guillaume Bouchède, Jean-Louis Tribes",2018-02-07,2018,30.114,
Rita,Jerry Lopez Sineneng,"Christine Bermas, Gold Aceron, VR Relosa, Josh Ivan Morales, Sahil Khan",2024-03-22,2024,188.189,
Rita,Paz Vega,"Sofía Allepuz, Alejandro Escamilla, Paz Vega, Roberto Álamo, Paz de Alarcón",2024-10-25,2024,72.637,
Rita,Jayro Bustamante,"Giuliana Santa Cruz, Ángela Quevedo, Alejandra Vázquez, Isabel Aldana, Glendy Rucal",2024-07-18,2024,11.659,
Robin Hood,Otto Bathurst,"Taron Egerton, Jamie Foxx, Ben Mendelsohn, Eve Hewson, Jamie Dornan",2018-11-03,2018,19.547,
Robin Hood,Ridley Scott,"Russell Crowe, Cate Blanchett, Max von Sydow, William Hurt, Mark Strong",2010-05-12,2010,30.765,
Security,Peter Chelsom,"Marco D'Amore, Maya Sansa, Silvio Muccino, Valeria Bilello, Ludovica Martino",2021-06-07,2021,8.454,
Security,Alain Desrochers,"Antonio Banderas, Ben Kingsley, Liam McIntyre, Chad Lindberg, Gabriella Wright",2017-03-04,2017,25.68,
Silent Night,John Woo,"Joel Kinnaman, Kid Cudi, Harold Torres, Catalina Sandino Moreno, Valeria Santaella",2023-11-30,2023,29.579,
Silent Night,Camille Griffin,"Keira Knightley, Matthew Goode, Roman Griffin Davis, Annabelle Wallis, Lily-Rose Depp",2021-12-03,2021,15.179,
Silent Night,Steven C. Miller,"Malcolm McDowell, Jaime King, Donal Logue, Ellen Wong, Lisa Marie",2012-11-30,2012,9.475,
Siren,Gregg Bishop,"Chase Williamson, Justin Welborn, Hannah Fierman, Michael Aaron Milligan, Hayes Mercure",2016-12-02,2016,26.178,
Siren,Jesse Peyronel,"Vinessa Shaw, Robert Kazinsky, Bess Wohl, Ross Partridge, Christian Winsor",2013-10-26,2013,5.863,
Siren,Andrew Hull,"Eoin Macken, Anna Skellern, Tereza Srbova, Tarek Anthony Jabre",2010-11-11,2010,8.007,
Smile,Parker Finn,"Sosie Bacon, Kyle Gallner, Jessie T. Usher, Robin Weigert, Caitlin Stasey",2022-09-23,2022,79.871,
Smile,Vicente Garibay Lijanova,"Yollotl Manzur, Miguel Barreiro",2021-09-07,2021,10.864,
Speak No Evil,James Watkins,"James McAvoy, Mackenzie Davis, Scoot McNairy, Aisling Franciosi, Alix West Lefler",2024-09-11,2024,118.93,
Speak No Evil,Christian Tafdrup,"Morten Burian, Sidsel Siem Koch, Fedja van Huêt, Karina Smulders, Liva Forsberg",2022-03-17,2022,14.16,
Speak No Evil,Roze,"Gabrielle Stone, Olivia Cavender, Carl Jensen IV, Mario Guzman, Greg Bronson",2013-05-24,2013,5.68,
Spellbound,Vicky Jenson,"Rachel Zegler, Miguel Bernardeau, Giovanna Bush, Dennis Stowe, Jenifer Lewis",2024-11-22,2024,145.578,
Spellbound,Hwang In-ho,"Son Ye-jin, Lee Min-ki, Park Cheol-min, Hwang Seung-eon, Kim Hyun-sook",2011-12-01,2011,10.461,
Sugar Baby,Alexander Prost,"Daniil Vorobyov, Angelina Zagrebina, Alla Yuganova, Anastasiya Panina, Vladimir Zherebtsov",2024-04-25,2024,27.936,
Sugar Baby,Christian Paolo Lat,"Azi Acosta, Robb Guinto, Jeffrey Hidalgo, Josef Elizalde, Ralmon Mendoza",2023-11-24,2023,19.28,
Sugar Baby,Berardo Carboni,"Matilda De Angelis, Donatella Finocchiaro, Alessandro Haber, Luca Lionello, Pamela Villoresi",2018-04-25,2018,9.129,
Survive,Frédéric Jardin,"Émilie Dequenne, Andreas Pietschmann, Lisa Delamar, Lucas Ebel, Arben Bajraktaraj",2024-06-19,2024,212.742,
Survive,Mark Pellington,"Sophie Turner, Corey Hawkins, Dane Foxx, Caroline Goodall, Makgotso M",2022-05-12,2022,19.223,
Tabu,Miguel Gomes,"Teresa Madruga, Laura Soveral, Ana Moreira, Henrique Espírito Santo, Carloto Cotta",2012-04-05,2012,27.859,
Tabu,"Jean-Julien Collette, Vincent Coen","Sandrine André, Tony Denman, Warre Borgmans, Angela Muto, Christelle Cornil",2010-05-01,2010,26.226,
Terrifier,Damien Leone,"David Howard Thornton, Jenna Kanell, Samantha Scaffidi, Catherine Corcoran, Pooya Mohseni",2018-01-25,2018,64.31,
Terrifier,Damien Leone,"Marie Maser, Mike Giannelli, Michael Chmiel, Daniel Rodas, Jennifer Castellano",2011-08-09,2011,30.598,
The American,James Napier Robertson,"Talia Ryder, Diane Kruger, Oleg Ivenko, Natasha Alderslade, Natalia Osipova",2023-11-02,2023,27.961,
The American,Anton Corbijn,"George Clooney, Violante Placido, Thekla Reuten, Paolo Bonacelli, Johan Leysen",2010-08-31,2010,21.884,
The Beach House,Jeffrey A. Brown,"Liana Liberato, Noah Le Gros, Jake Weber, Maryann Nagel, Steven Corkin",2020-10-22,2020,9.659,
The Beach House,Roger Spottiswoode,"Minka Kelly, Chad Michael Murray, Andie MacDowell, Makenzie Vega, Donna Biscoe",2018-04-28,2018,29.136,
The Beast,Bertrand Bonello,"Léa Seydoux, George MacKay, Guslagie Malanda, Dasha Nekrasova, Martin Scali",2024-02-07,2024,31.9,
The Beast,Ludovico Di Martino,"Fabrizio Gifuni, Lino Musella, Monica Piseddu, Andrea Pennacchi, Emanuele Linfatti",2020-11-27,2020,9.791,
The Boy,William Brent Bell,"Lauren Cohan, Rupert Evans, James Russell, Jim Norton, Diana Hardcastle",2016-01-22,2016,28.865,
The Boy,Craig William Macneill,"David Morse, Rainn Wilson, Jared Breeze, Bill Sage, Mike Vogel",2015-08-14,2015,7.182,
The Call,Lee Chung-hyun,"Park Shin-hye, Jun Jong-seo, Kim Sung-ryung, Lee El, Park Ho-san",2020-11-23,2020,24.029,
The Call,Timothy Woodward Jr.,"Lin Shaye, Tobin Bell, Chester Rushing, Erin Sanders, Judd Lormand",2020-10-23,2020,8.298,
The Call,Brad Anderson,"Halle Berry, Abigail Breslin, Morris Chestnut, Michael Eklund, David Otunga",2013-03-14,2013,28.243,
The Colony,Tim Fehlbaum,"Nora Arnezeder, Iain Glen, Sarah-Sofie Boussnina, Sope Dirisu, Sebastian Roché",2021-08-26,2021,26.531,
The Colony,Jeff Renfroe,"Kevin Zegers, Laurence Fishburne, Bill Paxton, Charlotte Sullivan, John Tench",2013-04-12,2013,25.877,
"The Gangster, the Cop, the Devil",Wei Li,"Liu Junxiao, Collin Chou, Kent Tong Chun-Yip, Ken Lok Tat-Wah, Rong Fei",2023-03-10,2023,9.891,
"The Gangster, the Cop, the Devil",Lee Won-tae,"Don Lee, Kim Moo-yul, Kim Sung-kyu, Heo Dong-won, Yoo Jae-myung",2019-05-15,2019,127.21,
The Girl on the Train,Ribhu Dasgupta,"Parineeti Chopra, Aditi Rao Hydari, Kirti Kulhari, Tota Roy Chowdhury, Shamaun Ahmed",2021-02-26,2021,9.304,
The Girl on the Train,Tate Taylor,"Emily Blunt, Rebecca Ferguson, Haley Bennett, Justin Theroux, Luke Evans",2016-10-05,2016,28.853,
The Host,Andy Newbery,"Maryam Hassouni, Mike Beckingham, Dougie Poynter, Nigel Barber, Suan-Li Ong",2020-01-17,2020,7.06,
The Host,Andrew Niccol,"Saoirse Ronan, Diane Kruger, Max Irons, Jake Abel, William Hurt",2013-03-22,2013,36.152,
The House,Anissa Bonnefont,"Ana Girardot, Aure Atika, Rossy de Palma, Yannick Renier, Philippe Rebbot",2022-11-16,2022,36.447,
The House,"Paloma Baeza, Emma De Swaef, Niki Lindroth von Bahr, Marc James Roels","Mia Goth, Matthew Goode, Claudie Blakley, Eleanor De Swaef-Roels, Mark Heap",2022-01-14,2022,18.973,
The House,Andrew J. Cohen,"Amy Poehler, Will Ferrell, Jason Mantzoukas, Ryan Simpkins, Nick Kroll",2017-06-29,2017,10.702,
The Hunt,Craig Zobel,"Betty Gilpin, Hilary Swank, Ethan Suplee, Teri Wyble, Ike Barinholtz",2020-03-11,2020,41.796,
The Hunt,Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm, Susse Wold",2012-06-13,2012,41.569,
The Invitation,Jessica M. Thompson,"Nathalie Emmanuel, Thomas Doherty, Sean Pertwee, Hugh Skinner, Carol Ann Crawford",2022-08-24,2022,26.079,
The Invitation,Karyn Kusama,"Logan Marshall-Green, Tammy Blanchard, Emayatzy Corinealdi, Michiel Huisman, John Carroll Lynch",2016-04-08,2016,23.529,
The Island,Shaun Paul Piccinino,"Michael Jai White, Jackson Rathbone, Gillian White, Edoardo Costa, Wayne Gordon",2023-07-21,2023,624.835,
The Island,Huang Bo,"Huang Bo, Shu Qi, Wang Baoqiang, Zhang Yixing, Yu Hewei",2018-08-10,2018,7.083,
The Killer,John Woo,"Nathalie Emmanuel, Omar Sy, Sam Worthington, Diana Silvers, Saïd Taghmaoui",2024-08-22,2024,59.042,
The Killer,David Fincher,"Michael Fassbender, Tilda Swinton, Charles Parnell, Arliss Howard, Kerry O'Malley",2023-10-25,2023,24.011,
The Killer,Choi Jae-hoon,"Jang Hyuk, Lee Seo-young, Bruce Khan, Bang Eun-jeong, Lee Seung-joon",2022-07-13,2022,31.135,
The Killer,Marcelo Galvão,"Diogo Morgado, Maria de Medeiros, Etienne Chicot, Paulo Gorgulho, Marat Descartes",2017-09-13,2017,8.73,
The King,David Michôd,"Timothée Chalamet, Joel Edgerton, Sean Harris, Tom Glynn-Carney, Lily-Rose Depp",2019-10-11,2019,28.889,
The King,Han Jae-rim,"Zo In-sung, Jung Woo-sung, Bae Sung-woo, Kim A-joong, Ryu Jun-yeol",2017-01-18,2017,8.495,
The Ledge,Howard J. Ford,"Brittany Ashworth, Nathan Welsh, Anaïs Parello, Louis Boyer, Ben Lamb",2022-02-18,2022,39.69,
The Ledge,Matthew Chapman,"Charlie Hunnam, Liv Tyler, Terrence Howard, Patrick Wilson, Jaqueline Fleming",2011-05-06,2011,11.291,
The Legend of La Llorona,Patricia Harris Seeley,"Autumn Reeser, Antonio Cupo, Danny Trejo, Nicolas Madrazo, Angélica Lara",2022-01-07,2022,19.815,
The Legend of La Llorona,Alberto Rodríguez,"Rafael Inclán, Yair Prado, Mónica del Carmen, Mayté Cordero, Rosario Zúñiga",2011-10-21,2011,28.754,
The Little Mermaid,Rob Marshall,"Halle Bailey, Jonah Hauer-King, Melissa McCarthy, Javier Bardem, Noma Dumezweni",2023-05-18,2023,98.105,
The Little Mermaid,Michael Johnson,"Sonya Krueger, Dee Wallace, Steve Guttenberg, Sharon Desiree, Tammy Klein",2023-05-30,2023,9.298,
The Little Mermaid,"Chris Bouchard, Blake Harris","Poppy Drayton, Shirley MacLaine, Loreto Peralta, William Moseley, Gina Gershon",2018-08-02,2018,18.701,
The Monkey,Osgood Perkins,"Theo James, Tatiana Maslany, Christian Convery, Colin O'Brien, Adam Scott",2025-02-14,2025,305.841,
The Monkey,Spencer Sherry,"Mark Koenig, Lilly Moran, Chris Gaunt, Courtland Jones, Vaden Thurgood",2023-05-06,2023,14.251,
The Monkey King,Anthony Stacchi,"Jimmy O. Yang, Bowen Yang, Jolie Hoang-Rappaport, Jo Koy, Ron Yuan",2023-08-11,2023,29.224,
The Monkey King,Soi Cheang,"Donnie Yen Chi-Tan, Aaron Kwok Fu-Shing, Joe Chen, Chow Yun-Fat, Peter Ho",2014-01-09,2014,23.698,
The Most Beautiful Girl in the World,Robert Ronny,"Reza Rahadian, Sheila Dara, Kevin Julio, Indra Birowo, Jihane Almira",2025-02-13,2025,140.195,
The Most Beautiful Girl in the World,Aron Lehmann,"Aaron Hilmer, Luna Wedler, Damian Hardung, Jonas Ems, Anke Engelke",2018-09-06,2018,10.439,
The Mule,Clint Eastwood,"Clint Eastwood, Bradley Cooper, Laurence Fishburne, Michael Peña, Dianne Wiest",2018-12-14,2018,25.928,
The Mule,Tony Mahony,"Hugo Weaving, Angus Sampson, Leigh Whannell, Ewen Leslie, Geoff Morrell",2014-03-10,2014,7.981,
The Nun,Corin Hardy,"Taissa Farmiga, Demián Bichir, Bonnie Aarons, Jonas Bloquet, Ingrid Bisu",2018-09-05,2018,72.536,
The Nun,Guillaume Nicloux,"Pauline Étienne, Isabelle Huppert, Louise Bourgoin, Martina Gedeck, Agathe Bonitzer",2013-03-20,2013,6.239,
The Other Woman,Daniel Auteuil,"Daniel Auteuil, Gérard Depardieu, Sandrine Kiberlain, Adriana Ugarte, John Sehil",2018-04-26,2018,8.426,
The Other Woman,Nick Cassavetes,"Cameron Diaz, Leslie Mann, Kate Upton, Nikolaj Coster-Waldau, Don Johnson",2014-04-16,2014,27.135,
The Other Woman,Don Roos,"Natalie Portman, Scott Cohen, Charlie Tahan, Lauren Ambrose, Lisa Kudrow",2010-10-28,2010,10.896,
The Return,Uberto Pasolini,"Ralph Fiennes, Juliette Binoche, Charlie Plummer, Marwan Kenzari, Claudio Santamaria",2024-09-07,2024,68.871,
The Return,BJ Verot,"Richard Harmon, Sara Thompson, Marina Stephenson Kerr, Kristen Sawatzky, Erik Athavale",2020-09-05,2020,16.097,
The Ritual,David Midell,"Al Pacino, Dan Stevens, Ashley Greene, Abigail Cowen, Patricia Heaton",2025-04-18,2025,5.38,
The Ritual,David Bruckner,"Rafe Spall, Arsher Ali, Robert James-Collier, Sam Troughton, Paul Reid",2017-10-11,2017,39.263,
The Tank,Scott Walker,"Luciane Buchanan, Matt Whelan, Jaya Beach-Robertson, Mark Mitchinson, Ascia Maybury",2023-04-21,2023,33.661,
The Tank,Kellie Madison,"Marguerite Moreau, Jack Davenport, Brad William Henke, Christopher McDonald, Jack Coleman",2017-07-27,2017,11.182,
The Wailing,Pedro Martín Calero,"Ester Expósito, Mathilde Ollivier, Malena Villa, José Luis Ferrer, Claudia Roset",2024-10-25,2024,312.054,
The Wailing,Na Hong-jin,"Kwak Do-won, Hwang Jung-min, Chun Woo-hee, Jun Kunimura, Kim Hwan-hee",2016-05-12,2016,36.639,
The Wall,Doug Liman,"Aaron Taylor-Johnson, John Cena, Laith Nakli",2017-05-12,2017,26.98,
The Wall,Julian Pölsler,"Martina Gedeck, Ulrike Beimpold, Karlheinz Hackl, Wolfgang Maria Bauer, Julia Gschnitzer",2012-02-12,2012,8.212,
The Witch,Ronny A. Sosa,"Lumy Lizardo, Manny Perez, Johanny Sosa, Hony Estrella, Miguel Ángel Martínez",2021-10-28,2021,7.507,
The Witch,Robert Eggers,"Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Harvey Scrimshaw, Ellie Grainger",2016-02-19,2016,52.79,
Thelma,Josh Margolin,"June Squibb, Fred Hechinger, Richard Roundtree, Parker Posey, Clark Gregg",2024-06-21,2024,45.577,
Thelma,Joachim Trier,"Eili Harboe, Kaya Wilkins, Henrik Rafaelsen, Ellen Dorrit Petersen, Grethe Eltervåg",2017-09-15,2017,13.467,
Trap,M. Night Shyamalan,"Josh Hartnett, Ariel Donoghue, Saleka Night Shyamalan, Alison Pill, Hayley Mills",2024-07-31,2024,78.284,
Trap,Bong Man-dae,"Yu Ha-jun, Jung Min-gyeol, Na Sang-Gyoo, Kang Yong-Kyu, Lee Sa-gang",2015-09-17,2015,10.459,
Trouble,Jon Holmberg,"Filip Berg, Amy Deasismont, Joakim Sällquist, Eva Melander, Måns Nathanaelson",2024-10-02,2024,64.246,
Trouble,Kevin Johnson,"Big Sean, Pamela Adlon, Lucy Hale, Marissa Jaret Winokur, Joel McHale",2019-08-08,2019,14.122,
Truth or Dare,Jeff Wadlow,"Lucy Hale, Violett Beane, Tyler Posey, Hayden Szeto, Aurora Perrineau",2018-04-12,2018,26.81,
Truth or Dare,Nick Simon,"Heather Langenkamp, Alexxis Lemire, Cassie Scerbo, Brytni Sarpy, Christina Masterson",2017-10-08,2017,8.743,
Truth or Dare,Robert Heath,"Liam Boyle, Jack Gordon, Florence Hall, David Oakes, Jennie Jacques",2012-08-05,2012,12.536,
Underwater,William Eubank,"Kristen Stewart, Vincent Cassel, Mamoudou Athie, T.J. Miller, John Gallagher Jr.",2020-01-08,2020,32.736,
Underwater,Alejandro Sesma,"Jaxon Radoc, Kimi Monroe, Danny Montero, Kayden Gray, Hayley Cleghorn",2015-10-29,2015,5.868,
Unstoppable,"杨锋, Feng Yang","Louis Fan Siu-Wong, Lee Lichun, Ji Hao, Zina Blahusova, Pema Jyad",2025-02-22,2025,7.242,
Unstoppable,William Goldenberg,"Jharrel Jerome, Anthony Robles, Jennifer Lopez, Michael Peña, Don Cheadle",2024-12-06,2024,69.604,
Unstoppable,Kim Min-ho,"Don Lee, Song Ji-hyo, Kim Seung-o, Kim Min-jae, Park Ji-hwan",2018-11-22,2018,31.572,
Unstoppable,Tony Scott,"Denzel Washington, Chris Pine, Rosario Dawson, Kevin Dunn, Ethan Suplee",2010-11-04,2010,25.307,
Veronica,Paco Plaza,"Sandra Escacena, Bruna González, Claudia Placer, Iván Chavero, Ana Torrent",2017-08-25,2017,25.943,
Veronica,"Alejandro Martínez Beltrán, Carlos Algara","Arcelia Ramírez, Olga Segura, Sofía Garza, Eugenia Morales Marín",2017-08-14,2017,14.165,
Vice,Adam McKay,"Christian Bale, Amy Adams, Steve Carell, Sam Rockwell, Alison Pill",2018-12-25,2018,14.308,
Vice,Brian A. Miller,"Ambyr Childers, Thomas Jane, Bryan Greenberg, Bruce Willis, Johnathon Schaech",2015-01-16,2015,26.379,
Waves,Jiří Mádl,"Vojtěch Vodochodský, Ondrej Stupka, Tatiana Pauhofová, Stanislav Majer, Vojtěch Kotek",2024-08-01,2024,11.63,
Waves,Trey Edward Shults,"Kelvin Harrison, Jr., Taylor Russell, Renée Elise Goldsberry, Sterling K. Brown, Lucas Hedges",2019-11-15,2019,28.909,
Whiplash,Damien Chazelle,"Miles Teller, J.K. Simmons, Paul Reiser, Melissa Benoist, Austin Stowell",2014-10-10,2014,97.314,
Whiplash,Damien Chazelle,"Johnny Simmons, J.K. Simmons, Nate Lang, C.J. Vana, Honora Javier",2013-01-18,2013,8.729,
Wicked,Jon M. Chu,"Cynthia Erivo, Ariana Grande, Jeff Goldblum, Michelle Yeoh, Jonathan Bailey",2024-11-20,2024,593.834,
Wicked,Taryn O'Neill,"Liam Hall, Anna Maiche, Kevin Joy, Andrew Rogers, Joy Rovaris",2021-05-27,2021,15.982,
X,Ti West,"Mia Goth, Jenna Ortega, Brittany Snow, Kid Cudi, Martin Henderson",2022-03-17,2022,53.229,
X,Jon Hewitt,"Viva Bianca, Hanna Mangan Lawrence, Peter Docker, Stephen Phillips, Eamon Farren",2011-11-23,2011,23.529,
Young Hearts,Anthony Schatteman,"Lou Goossens, Marius De Saeger, Geert Van Rampelberg, Emilie De Roo, Dirk van Dijck",2024-10-26,2024,80.446,
Young Hearts,"Sarah Sherman, Zachary Ray Sherman","Quinn Liebling, Anjini Taneja Azhar, Tanner Orcut, Jack Poole, Jonas Schouten",2020-01-24,2020,7.172,
