Country,Role,Name,Start,End
Czech Republic,Prime Minister,Vladimír Špidla,2002-07-15,2004-08-04
Czech Republic,Prime Minister,Miloš Zeman,1998-07-17,2002-07-15
Czech Republic,Prime Minister,Josef Tošovský,1997-12-17,1998-07-22
Czech Republic,Prime Minister,Václav Klaus,1993-01-01,1998-01-02
Finland,President,Alexander Stubb,2024-03-01,
Finland,President,Sauli Niinistö,2012-03-01,2024-03-01
Finland,Prime Minister,Alexander Stubb,2014-06-24,2015-05-28
Finland,Prime Minister,Juha Sipilä,2015-05-29,2019-06-06
Finland,Prime Minister,Antti Rinne,2019-06-06,2019-12-10
Finland,Prime Minister,Sanna Marin,2019-12-10,2023-06-20
Finland,Prime Minister,Petteri Orpo,2023-06-20,
Iraq,President,Barham Salih,2018-10-02,2022-10-17
Iraq,President,Abdul Latif Rashid,2022-10-17,
Iraq,Prime Minister,Mustafa Al-Kadhimi,2020-05-07,2022-10-27
Iraq,Prime Minister,Mohammed Shia' Al Sudani,2022-10-27,
Portugal,President,Aníbal Cavaco Silva,2006-03-09,2016-03-09
Portugal,President,Marcelo Rebelo de Sousa,2016-03-09,
Portugal,President,Jorge Sampaio,1996-03-09,2006-03-09
Portugal,President,Mário Soares,1986-03-09,1996-03-09
Portugal,Prime Minister,Pedro Passos Coelho,2011-06-21,2015-11-26
Portugal,Prime Minister,António Costa,2015-11-26,2024-04-02
Portugal,Prime Minister,Luis Montenegro,2024-04-02,
