Member_state,Heritage_element,Status_Inscribed_or_Proclaimed,Region,Start,End
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,Art of Neapolitan 'Pizzaiuolo',inscribed,ENA,2017,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,Celestinian forgiveness celebration,inscribed,ENA,2019,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,"Truffle hunting and extraction in Italy, traditional knowledge and practice",inscribed,ENA,2021,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,The practice of opera singing in Italy,inscribed,ENA,2023,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,The Maroon Heritage of Moore Town,proclaimed,LAC,2003,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,The Maroon Heritage of Moore Town,inscribed,LAC,2008,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,Reggae music of Jamaica,inscribed,LAC,2018,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,Nôgaku Theatre,proclaimed,APA,2001,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,Nôgaku Theatre,inscribed,APA,2008,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,Ningyo Johruri Bunraku Puppet Theatre,proclaimed,APA,2003,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,Ningyo Johruri Bunraku Puppet Theatre,inscribed,APA,2008,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,Kabuki Theatre,proclaimed,APA,2005,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,Kabuki Theatre,inscribed,APA,2008,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,Akiu no Taue Odori,inscribed,APA,2009,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,Chakkirako,inscribed,APA,2009,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,Daimokutate,inscribed,APA,2009,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,Dainichido Bugaku,inscribed,APA,2009,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,Gagaku,inscribed,APA,2009,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,Hayachine Kagura,inscribed,APA,2009,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,"Ojiya-chijimi, Echigo-jofu: techniques of making ramie fabric in Uonuma region, Niigata Prefecture",inscribed,APA,2009,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,Oku-noto no Aenokoto,inscribed,APA,2009,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,Traditional Ainu dance,inscribed,APA,2009,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,"Kumiodori, traditional Okinawan musical theatre",inscribed,APA,2010,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,"Yuki tsumugi, silk fabric production technique",inscribed,APA,2010,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,"Mibu no Hana Taue, ritual of transplanting rice in Mibu, Hiroshima",inscribed,APA,2011,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,"Sada Shin Noh, sacred dancing at Sada shrine, Shimane",inscribed,APA,2011,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,"Nachi no Dengaku, a religious performing art held at the Nachi fire festival",inscribed,APA,2012,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,"Washoku, traditional dietary cultures of the Japanese, notably for the celebration of New Year",inscribed,APA,2013,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,"Washi, craftsmanship of traditional Japanese hand-made paper[338]",inscribed,APA,2014,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,"Yama, Hoko, Yatai, float festivals",inscribed,APA,2016,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,"Raiho-shin, ritual visits of deities in masks and costumes",inscribed,APA,2018,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,"Traditional skills, techniques and knowledge for the conservation and transmission of wooden architecture in Japan",inscribed,APA,2020,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,"Furyu-odori, ritual dances imbued with people's hopes and prayers",inscribed,APA,2022,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,The Cultural Space of the Bedu in Petra and Wadi Rum,proclaimed,AST,2005,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,The Cultural Space of the Bedu in Petra and Wadi Rum,inscribed,AST,2008,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,As-Samer in Jordan,inscribed,AST,2018,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,"Al-Mansaf in Jordan, a festive banquet and its social and cultural meanings",inscribed,AST,2022,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,Kazakh traditional art of Dombra Kuy,inscribed,APA,2014,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,Kazakh traditional Assyk games,inscribed,APA,2017,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,Traditional spring festive rites of the Kazakh horse breeders,inscribed,APA,2018,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,"Orteke, traditional performing art in Kazakhstan: dance, puppet and music",inscribed,APA,2022,
Kazakhstan / Kyrgyzstan / Turkey,"Traditional intelligence and strategy game: Togyzqumalaq, Toguz Korgool, Mangala/Göçürme",inscribed,APA,2020,
Kuwait / Saudi Arabia,Traditional weaving of Al Sadu,inscribed,ARB,2020,
Kuwait / Saudi Arabia,"The Art of Akyns, Kyrgyz Epic Tellers",proclaimed,APA,2003,
Kuwait / Saudi Arabia,"The Art of Akyns, Kyrgyz Epic Tellers",inscribed,APA,2008,
Kuwait / Saudi Arabia,"Kyrgyz epic trilogy: Manas, Semetey, Seytek",inscribed,APA,2013,
Kuwait / Saudi Arabia,"Kok boru, traditional horse game",inscribed,APA,2017,
Kuwait / Saudi Arabia,"Ak-kalpak craftsmanship, traditional knowledge and skills in making and wearing Kyrgyz men's headwear",inscribed,APA,2019,
Kuwait / Saudi Arabia,"Elechek, Kyrgyz female headwear: traditional knowledge and rituals",inscribed,APA,2023,
Kuwait / Saudi Arabia,Khaen music of the Lao people,inscribed,APA,2017,
Kuwait / Saudi Arabia,Traditional craft of Naga motif weaving in Lao communities,inscribed,APA,2023,
Kuwait / Saudi Arabia,"Zajal, recited or sung poetry",proclaimed,APA,2003,
Kuwait / Saudi Arabia,"Zajal, recited or sung poetry",inscribed,APA,2014,
Kuwait / Saudi Arabia,"Al-Man’ouché, an emblematic culinary practice in Lebanon",proclaimed,APA,2022,
Kuwait / Saudi Arabia,"Al-Man’ouché, an emblematic culinary practice in Lebanon",inscribed,APA,2023,
Kuwait / Saudi Arabia,Cross crafting and its symbolism,proclaimed,ENA,2001,
Kuwait / Saudi Arabia,Cross crafting and its symbolism,inscribed,ENA,2008,
Kuwait / Saudi Arabia,"Sutartinės, Lithuanian multipart songs",inscribed,ENA,2010,
Kuwait / Saudi Arabia,Sodai straw garden making in Lithuania,inscribed,ENA,2023,
Kuwait / Saudi Arabia,Hopping procession of Echternach,inscribed,ENA,2010,
Kuwait / Saudi Arabia,The Woodcrafting Knowledge of the Zafimaniry,proclaimed,AFR,2003,
Kuwait / Saudi Arabia,The Woodcrafting Knowledge of the Zafimaniry,inscribed,AFR,2008,
Kuwait / Saudi Arabia,"Malagasy Kabary, the Malagasy oratorical art",inscribed,AFR,2021,
Kuwait / Saudi Arabia,"Hiragasy, a performing art of the Central Highlands of Madagascar",inscribed,AFR,2023,
Kuwait / Saudi Arabia,The Vimbuza Healing Dance,proclaimed,AFR,2005,
Kuwait / Saudi Arabia,The Vimbuza Healing Dance,inscribed,AFR,2008,
Kuwait / Saudi Arabia,"Tchopa, sacrificial dance of the Lhomwe people of southern Malawi",inscribed,AFR,2014,
Kuwait / Saudi Arabia,"Nsima, culinary tradition of Malawi",inscribed,AFR,2017,
Kuwait / Saudi Arabia,"Mwinoghe, joyous dance",inscribed,AFR,2018,
Mexico / Spain,Artisanal talavera of Puebla and Tlaxcala (Mexico) and ceramics of Talavera de la Reina and El Puente del Arzobispo (Spain) making process,inscribed,LACENA,2019,
Moldova / Romania,The Christmas carols in masculine horde,inscribed,ENA,2013,
Moldova / Romania,Traditional wall-carpet craftsmanship in Romania and the Republic of Moldova,inscribed,ENA,2016,
Moldova / Romania,The art of the traditional blouse with embroidery on the shoulder (altiţă) — an element of cultural identity in Romania and the Republic of Moldova,inscribed,ENA,2022,
Moldova / Romania,The Traditional Music of the Morin Khuur,proclaimed,APA,2003,
Moldova / Romania,The Traditional Music of the Morin Khuur,inscribed,APA,2008,
Moldova / Romania,Mongolian art of singing: Khoomei,inscribed,APA,2010,
Moldova / Romania,The Traditional Naadam festival,inscribed,APA,2010,
Moldova / Romania,Traditional craftsmanship of the Mongol Ger and its associated customs,inscribed,APA,2013,
Moldova / Romania,Mongolian knuckle-bone shooting,inscribed,APA,2014,
Moldova / Romania,Traditional technique of making Airag in Khokhuur and its associated customs,inscribed,APA,2019,
Moldova / Romania,Cultural Heritage of Boka Navy Kotor: a festive representation of a memory and cultural identity,inscribed,ENA,2021,
Moldova / Romania,The Cultural Space of Jemaa el-Fna Square,proclaimed,"AFR, AST",2001,
Moldova / Romania,The Cultural Space of Jemaa el-Fna Square,inscribed,"AFR, AST",2008,
Moldova / Romania,The Moussem of Tan-Tan,proclaimed,"AFR, AST",2005,
Moldova / Romania,The Moussem of Tan-Tan,inscribed,"AFR, AST",2008,
Moldova / Romania,Cherry festival in Sefrou,inscribed,"AFR, AST",2012,
Moldova / Romania,"Argan, practices and know-how concerning the argan tree",inscribed,"AFR, AST",2014,
Moldova / Romania,"Taskiwin, martial dance of the western High Atlas",inscribed,"AFR, AST",2017,
Moldova / Romania,Gnawa,inscribed,"AFR, AST",2019,
Moldova / Romania,Tbourida,inscribed,"AFR, AST",2021,
Moldova / Romania,"Malhun, a popular poetic and musical art",inscribed,"AFR, AST",2023,
Moldova / Romania,The Chopi Timbila,proclaimed,AFR,2005,
Moldova / Romania,The Chopi Timbila,inscribed,AFR,2008,
Moldova / Romania,"Oshituthi shomagongo, marula fruit festival",inscribed,AFR,2015,
Moldova / Romania,Craft of the miller operating windmills and watermills,inscribed,ENA,2017,
Moldova / Romania,"Corso culture, flower and fruit parades in the Netherlands",inscribed,ENA,2021,
Moldova / Romania,Rotterdam Summer Carnival,inscribed,ENA,2023,
Moldova / Romania,El Güegüense,proclaimed,LAC,2005,
Moldova / Romania,El Güegüense,inscribed,LAC,2008,
Moldova / Romania,Practices and expressions of joking relationships in Niger,inscribed,AFR,2014,
Moldova / Romania,The Ifá Divination System,proclaimed,AFR,2005,
Moldova / Romania,The Ifá Divination System,inscribed,AFR,2008,
Moldova / Romania,Ijele masquerade,inscribed,AFR,2009,
Moldova / Romania,The Argungu Fishing Festival,inscribed,AFR,2016,
Moldova / Romania,Kwagh-Hir theatrical performance,inscribed,AFR,2019,
Moldova / Romania,"Sango Festival, Oyo",inscribed,AFR,2023,
Moldova / Romania,Arirang folk song in the Democratic People's Republic of Korea,inscribed,APA,2014,
Moldova / Romania,Tradition of kimchi-making in the Democratic People's Republic of Korea,inscribed,APA,2015,
Moldova / Romania,Pyongyang Raengmyon custom,inscribed,APA,2022,
North Korea / South Korea,Traditional Korean wrestling (Ssirum/Ssireum),inscribed,APA,2018,
North Korea / South Korea,Feast of the Holy Forty Martyrs in Štip,inscribed,ENA,2013,
North Korea / South Korea,"Kopachkata, a social dance from the village of Dramche, Pijanec",inscribed,ENA,2014,
North Macedonia / Turkey,"Spring celebration, Hıdrellez",inscribed,ENA,2017,
North Macedonia / Turkey,"Practice of traditional music and dance in Setesdal, playing, dancing and singing (stev/stevjing)",inscribed,ENA,2019,
North Macedonia / Turkey,"Al-Bar’ah, music and dance of Oman Dhofari valleys",inscribed,ARB,2010,
North Macedonia / Turkey,"Al 'azi, elegy, processional march and poetry",inscribed,ARB,2012,
North Macedonia / Turkey,Horse and camel Ardhah,inscribed,ARB,2018,
North Macedonia / Turkey,"Al-Khanjar, craft skills and social practices",inscribed,ARB,2022,
Oman / Qatar / Saudi Arabia / United Arab Emirates,"Majlis, a cultural and social space",inscribed,ARB,2015,
Oman / Qatar / Saudi Arabia / United Arab Emirates,"Arabic coffee, a symbol of generosity",inscribed,ARB,2015,
Oman / Saudi Arabia / United Arab Emirates,"Alheda'a, oral traditions of calling camel flocks",inscribed,ARB,2022,
Oman / United Arab Emirates,"Al-Ayyala, a traditional performing art of the Sultanate of Oman and the United Arab Emirates",inscribed,ARB,2014,
Oman / United Arab Emirates,"Al-Taghrooda, traditional Bedouin chanted poetry",inscribed,ARB,2012,
Oman / United Arab Emirates,"Al-Razfa, a traditional performing art",inscribed,ARB,2015,
Oman / United Arab Emirates,"Camel racing, a social practice and a festive heritage associated with camels",inscribed,ARB,2020,
Oman / United Arab Emirates,The Palestinian hikaye,proclaimed,AST,2005,
Oman / United Arab Emirates,The Palestinian hikaye,inscribed,AST,2008,
Oman / United Arab Emirates,"The art of embroidery in Palestine, practices, skills, knowledge and rituals",inscribed,AST,2021,
Oman / United Arab Emirates,"Dabkeh, traditional dance in Palestine",inscribed,AST,2023,
Oman / United Arab Emirates,"Artisanal processes and plant fibers techniques for talcos, crinejas and pintas weaving of the pinta'o hat",inscribed,LAC,2017,
Oman / United Arab Emirates,Ritual and festive expressions of the Congo culture,inscribed,LAC,2018,
Oman / United Arab Emirates,Dances and expressions associated with the Corpus Christi Festivity,inscribed,LAC,2021,
Oman / United Arab Emirates,"Practices and traditional knowledge of Terere in the culture of Pohã Ñana, Guaraní ancestral drink in Paraguay",inscribed,LAC,2020,
Oman / United Arab Emirates,Taquile and its Textile Art,proclaimed,LAC,2005,
Oman / United Arab Emirates,Taquile and its Textile Art,inscribed,LAC,2008,
Oman / United Arab Emirates,"Huaconada, ritual dance of Mito",inscribed,LAC,2010,
Oman / United Arab Emirates,The scissors dance,inscribed,LAC,2010,
Oman / United Arab Emirates,Pilgrimage to the sanctuary of the Lord of Qoyllurit'i,inscribed,LAC,2011,
Oman / United Arab Emirates,"Knowledge, skills and rituals related to the annual renewal of the Q'eswachaka bridge",inscribed,LAC,2013,
Oman / United Arab Emirates,"Virgen de la Candelaria, Harákmbut sung prayers of Peru's Huachipaire people",inscribed,LAC,2014,
Oman / United Arab Emirates,Wititi dance of the Colca Valley,inscribed,LAC,2015,
Oman / United Arab Emirates,Traditional system of Corongo's water judges,inscribed,LAC,2017,
Oman / United Arab Emirates,'Hatajo de Negritos' and 'Hatajo de Pallitas' from the Peruvian south-central coastline,inscribed,LAC,2019,
Oman / United Arab Emirates,"Pottery-related values, knowledge, lore and practices of the Awajún people",inscribed,LAC,2021,
Oman / United Arab Emirates,"Practices and meanings associated with the preparation and consumption of ceviche, an expression of Peruvian traditional cuisine",proclaimed,LAC,2023,
Oman / United Arab Emirates,"Practices and meanings associated with the preparation and consumption of ceviche, an expression of Peruvian traditional cuisine",inscribed,LAC,2023,
Oman / United Arab Emirates,The Hudhud Chants of the Ifugao,proclaimed,APA,2001,
Oman / United Arab Emirates,The Hudhud Chants of the Ifugao,inscribed,APA,2008,
Oman / United Arab Emirates,The Darangen Epic of the Maranao People of Lake Lanao,proclaimed,APA,2005,
Oman / United Arab Emirates,The Darangen Epic of the Maranao People of Lake Lanao,inscribed,APA,2008,
Oman / United Arab Emirates,Aklan piña handloom weaving,inscribed,APA,2023,
Oman / United Arab Emirates,Nativity scene tradition in Kraków,inscribed,ENA,2018,
Oman / United Arab Emirates,Flower carpets tradition for Corpus Christi processions,inscribed,ENA,2021,
Oman / United Arab Emirates,"Polonaise, traditional Polish dance",inscribed,ENA,2023,
Oman / United Arab Emirates,"The Fado, urban popular song of Portugal, performance genre incorporating music and poetry widely practised in the country and among emigrant communities",inscribed,ENA,2011,
Oman / United Arab Emirates,"The Cante Alentejano, polyphonic singing from Alentejo, southern Portugal",inscribed,ENA,2014,
Oman / United Arab Emirates,Craftmanship of Estremoz clay figures,inscribed,ENA,2017,
Oman / United Arab Emirates,"Winter festivities, Carnival of Podence",inscribed,ENA,2019,
Oman / United Arab Emirates,Community festivities in Campo Maior,inscribed,ENA,2021,
Oman / United Arab Emirates,The Căluș tradition,proclaimed,ENA,2005,
Oman / United Arab Emirates,The Căluș tradition,inscribed,ENA,2008,
Oman / United Arab Emirates,Doina,inscribed,ENA,2009,
Oman / United Arab Emirates,The Horezu ceramics,inscribed,ENA,2012,
Oman / United Arab Emirates,Lad's dances,inscribed,ENA,2015,
Oman / United Arab Emirates,The Cultural Space and Oral Culture of the Semeiskie,proclaimed,ENA,2001,
Oman / United Arab Emirates,The Cultural Space and Oral Culture of the Semeiskie,inscribed,ENA,2008,
Oman / United Arab Emirates,"The Olonkho, Yakut Heroic Epos",proclaimed,ENA,2005,
Oman / United Arab Emirates,"The Olonkho, Yakut Heroic Epos",inscribed,ENA,2008,
Oman / United Arab Emirates,"'Ie Samoa, fine mat and its cultural value",inscribed,APA,2019,
Oman / United Arab Emirates,"Alardah Alnajdiyah, dance, drumming and poetry in Saudi Arabia",inscribed,ARB,2015,
Oman / United Arab Emirates,"Almezmar, drumming and dancing with sticks",inscribed,ARB,2016,
Oman / United Arab Emirates,"Al-Qatt Al-Asiri, female traditional interior wall decoration in Asir, Saudi Arabia",inscribed,ARB,2017,
Oman / United Arab Emirates,Knowledge and practices related to cultivating Khawlani coffee beans,inscribed,ARB,2022,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,"Arabic calligraphy: knowledge, skills and practices",inscribed,ARB,2021,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,"Xooy, a divination ceremony among the Serer of Senegal",inscribed,AFR,2013,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,"Ceebu Jën, a culinary art of Senegal",inscribed,AFR,2021,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,"Slava, celebration of family saint patron's day",inscribed,ENA,2014,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,"Kolo, traditional folk dance",inscribed,ENA,2017,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Singing to the accompaniment of the gusle,inscribed,ENA,2018,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Zlakusa pottery,inscribed,ENA,2020,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Social practices and knowledge related to the preparation and use of the traditional plum spirit – šljivovica,inscribed,ENA,2022,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Moutya,inscribed,AFR,2021,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Hawker culture,inscribed,APA,2020,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Fujara and its music,proclaimed,ENA,2005,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Fujara and its music,inscribed,ENA,2008,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Music of Terchová,inscribed,ENA,2013,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Bagpipe culture,inscribed,ENA,2015,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Multipart singing of Horehronie,inscribed,ENA,2017,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,"Drotárstvo, wire craft and art",inscribed,ENA,2019,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Škofja Loka passion play,inscribed,ENA,2016,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Door-to-door rounds of Kurenti,inscribed,ENA,2017,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Bobbin lacemaking in Slovenia,inscribed,ENA,2018,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,"Beekeeping in Slovenia, a way of life",inscribed,ENA,2022,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Royal Ancestral Ritual in the Jongmyo Shrine and its Music,proclaimed,APA,2001,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Royal Ancestral Ritual in the Jongmyo Shrine and its Music,inscribed,APA,2008,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Pansori singing,proclaimed,APA,2003,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Pansori singing,inscribed,APA,2008,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Gangneung Danoje,proclaimed,APA,2005,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Gangneung Danoje,inscribed,APA,2008,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Cheoyongmu,inscribed,APA,2009,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Ganggangsullae,inscribed,APA,2009,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Jeju Chilmeoridang Yeongdeunggut,inscribed,APA,2009,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Namsadang Nori,inscribed,APA,2009,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Yeongsanjae,inscribed,APA,2009,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,"Daemokjang, traditional wooden architecture",inscribed,APA,2010,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,"Gagok, lyric song cycles accompanied by an orchestra",inscribed,APA,2010,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,"Jultagi, tightrope walking",inscribed,APA,2011,
